State,State Abbreviation,"Car, truck or van drove alone %","Car, truck or van carpooled %",Public transportation (excluding taxicab) %,Walked %,"Taxicab, motorcycle, bicycle or other means %",Worked at home %,GDP in billion current U.S. dollars,Median household income in 2015,Population density(Pop. Per km²),land area (km²),"Population estimate July 1, 2016",Number of workers,Mean travel time to work (minutes),avgPrice,salesVolume
Alabama,AL,86.36107904275538,8.533986015396172,0.48356279712241823,1.0488957002636607,1.0490469396706006,2.5234295047917685,-0.3486789166677387,-1.2353027756807358,-0.20742431798865207,-0.2197319233784128,-0.20530328976282033,-0.26573983011361485,0.19787509547991564,0.5355648997069078,-0.19793384848130713
Alaska,AK,66.68194624569563,12.986617324806582,1.8416551138142303,8.82283887124905,5.370678860516078,4.29626358391843,-0.6794056253305617,1.7983701466784587,-0.2688358982455321,5.920732193686504,-0.7799171505320341,-0.7929026032562033,-1.316104883295768,-0.03747738215619688,-0.7536840301362419
Arizona,AZ,76.25388870595266,11.038279497438873,2.359308624477255,2.068724402793878,2.821469686699818,5.458329082637521,-0.12095927470149287,-0.5215036239245168,-0.2301216600959589,0.5236079102322205,0.08298907393457274,-0.015801226780183485,0.1443102493254889,-0.5675592935137316,0.31583108778991503
Arkansas,AR,83.41475816987052,10.142869522422078,0.4744059502262073,1.652368269166311,1.487883559213678,2.8277145291012036,-0.5285753427316149,-1.5292263152027703,-0.23244839602441486,-0.20331822701074995,-0.46672642275749154,-0.5122917315048588,-0.6059716120833445,1.0837084769906171,-0.5046335626301308
California,CA,73.2126773193801,10.901063625163571,5.31428008730286,2.7331738390238103,2.596710120834168,5.242095008295491,4.954219394115557,0.858769806437442,-0.10633218328065068,1.0217590356306858,4.588954838300359,4.520787998715794,1.002605319598859,0.16351537116737455,3.173724541238486
Colorado,CO,74.65326495896296,9.71277176949725,3.3466372598929683,2.9349476017234313,2.460359834610179,6.892018575313211,-0.07307332611538614,0.7960590440340043,-0.23502128575174186,0.4060858442397545,-0.11088056991026365,-0.07327853584535696,-0.009160187221599872,0.03500891551666917,0.3090004388390725
Connecticut,CT,77.94529984632717,8.28854089148671,5.134158451199085,3.149832157939724,1.1548501401947753,4.327318512852531,-0.2443753745072581,1.5851959983391926,0.2091307216864997,-0.7606042529338227,-0.38471795978153267,-0.34597467380935876,0.41078542066863516,-1.1990000064022213,-0.31158726400893794
Delaware,DE,80.33913992000792,9.078438501966748,3.522436972012221,2.1480750433251012,1.1706040959338153,3.741305466754183,-0.6360155190789584,0.5144442159143365,0.047066723531333045,-0.7947766568992763,-0.7506147305006841,-0.7715785400747867,0.43965227615888036,0.22707667620308244,-0.7041886471625977
District of Columbia,DC,32.31178446894304,5.305268005101685,38.48833792303241,13.633678393877977,5.876026623284165,4.384904585760724,-0.5179526082854393,2.039557224416215,6.96927106915859,-0.817067368438583,-0.7883834001762938,-0.8018805247571347,1.6416855792172294,-4.594393875532977,-0.8324331871506669
Florida,FL,79.64029146454506,9.419325118818838,2.100915534444444,1.5264573855749544,2.234982904285427,5.078027592331284,1.233000238399742,-0.7407260183839115,-0.02048054868900414,-0.18455190083038878,1.9904700857747983,1.7995656927355863,0.5383139735438373,-0.12243005266771259,2.932363024122067
